year,land_level,melt_bp
-10000,-73.6632232666016,12450.87890625
-9750,-64.9735565185547,12450.87890625
-9500,-31.0285453796387,12450.87890625
-9250,-20.9317626953125,12450.87890625
-9000,-12.7676277160645,12450.87890625
-8750,-8.19376373291016,12450.87890625
-8500,-13.1240272521973,12450.87890625
-8250,-28.8589477539062,12450.87890625
-8000,-23.913948059082,12450.87890625
-7750,-17.1332607269287,12450.87890625
-7500,-12.2770576477051,12450.87890625
-7250,-11.4587059020996,12450.87890625
-7000,-10.5696983337402,12450.87890625
-6750,-8.36549377441406,12450.87890625
-6500,-5.71663475036621,12450.87890625
-6250,-5.19275283813477,12450.87890625
-6000,-6.00812149047852,12450.87890625
-5750,-4.86296653747559,12450.87890625
-5500,-6.82288074493408,12450.87890625
-5250,-7.38437747955322,12450.87890625
-5000,-6.64289474487305,12450.87890625
-4750,-7.67516088485718,12450.87890625
-4500,-6.38832426071167,12450.87890625
-4250,-5.96563911437988,12450.87890625
-4000,-4.40786790847778,12450.87890625
-3750,-2.80976724624634,12450.87890625
-3500,-1.96511745452881,12450.87890625
-3250,-1.57021045684814,12450.87890625
-3000,-1.22132706642151,12450.87890625
-2750,-0.168773889541626,12450.87890625
-2500,0.841279745101929,12450.87890625
-2250,1.81090426445007,12450.87890625
-2000,2.74163269996643,12450.87890625
-1750,3.48590421676636,12450.87890625
-1500,4.29606103897095,12450.87890625
-1250,5.86680746078491,12450.87890625
-1000,5.6101188659668,12450.87890625
-750,6.31974649429321,12450.87890625
-500,7.09782934188843,12450.87890625
-250,7.74542903900146,12450.87890625
0,8.46512031555176,12450.87890625
250,9.35511016845703,12450.87890625
500,10.515549659729,12450.87890625
750,11.051513671875,12450.87890625
1000,11.2600564956665,12450.87890625
1250,13.1416463851929,12450.87890625
1500,13.5932531356812,12450.87890625
1750,14.1247978210449,12450.87890625
2000,14.8271436691284,12450.87890625
