year,land_level,melt_bp
-10000,-138.431671142578,12005.751953125
-9750,-124.964874267578,12005.751953125
-9500,-85.4837036132812,12005.751953125
-9250,-70.0811080932617,12005.751953125
-9000,-57.2996788024902,12005.751953125
-8750,-48.8784942626953,12005.751953125
-8500,-50.6455955505371,12005.751953125
-8250,-63.7725677490234,12005.751953125
-8000,-56.6538619995117,12005.751953125
-7750,-48.0351638793945,12005.751953125
-7500,-41.6007652282715,12005.751953125
-7250,-39.4067573547363,12005.751953125
-7000,-37.3017425537109,12005.751953125
-6750,-34.0088844299316,12005.751953125
-6500,-30.3743019104004,12005.751953125
-6250,-28.9489498138428,12005.751953125
-6000,-28.9327259063721,12005.751953125
-5750,-27.0146064758301,12005.751953125
-5500,-28.2513694763184,12005.751953125
-5250,-28.1325073242188,12005.751953125
-5000,-26.7478122711182,12005.751953125
-4750,-27.1694965362549,12005.751953125
-4500,-25.3009548187256,12005.751953125
-4250,-24.3224029541016,12005.751953125
-4000,-22.2320804595947,12005.751953125
-3750,-20.1226387023926,12005.751953125
-3500,-18.7860679626465,12005.751953125
-3250,-17.9171905517578,12005.751953125
-3000,-17.1109867095947,12005.751953125
-2750,-15.6167106628418,12005.751953125
-2500,-14.1795921325684,12005.751953125
-2250,-12.796745300293,12005.751953125
-2000,-11.4659605026245,12005.751953125
-1750,-10.3341789245605,12005.751953125
-1500,-9.14854145050049,12005.751953125
-1250,-7.21386289596558,12005.751953125
-1000,-7.11777400970459,12005.751953125
-750,-6.06618213653564,12005.751953125
-500,-4.9566011428833,12005.751953125
-250,-3.98768329620361,12005.751953125
0,-2.95662450790405,12005.751953125
250,-1.76497030258179,12005.751953125
500,-0.312388956546783,12005.751953125
750,0.506398677825928,12005.751953125
1000,0.988589763641357,12005.751953125
1250,3.13483047485352,12005.751953125
1500,3.84219598770142,12005.751953125
1750,4.62072944641113,12005.751953125
2000,5.56142377853394,12005.751953125
