year,land_level,melt_bp
-10000,-91.5645751953125,12506.41015625
-9750,-82.5060729980469,12506.41015625
-9500,-48.1590843200684,12506.41015625
-9250,-37.6174011230469,12506.41015625
-9000,-28.9811973571777,12506.41015625
-8750,-23.9256896972656,12506.41015625
-8500,-28.3772773742676,12506.41015625
-8250,-43.6438903808594,12506.41015625
-8000,-38.2446784973145,12506.41015625
-7750,-31.0253849029541,12506.41015625
-7500,-25.7464294433594,12506.41015625
-7250,-24.5207290649414,12506.41015625
-7000,-23.2390441894531,12506.41015625
-6750,-20.655948638916,12506.41015625
-6500,-17.6410942077637,12506.41015625
-6250,-16.7632541656494,12506.41015625
-6000,-17.2359447479248,12506.41015625
-5750,-15.7586555480957,12506.41015625
-5500,-17.3963470458984,12506.41015625
-5250,-17.6449737548828,12506.41015625
-5000,-16.5994548797607,12506.41015625
-4750,-17.336088180542,12506.41015625
-4500,-15.7616176605225,12506.41015625
-4250,-15.0589408874512,12506.41015625
-4000,-13.2285480499268,12506.41015625
-3750,-11.3648834228516,12506.41015625
-3500,-10.26149559021,12506.41015625
-3250,-9.61446380615234,12506.41015625
-3000,-9.01986217498779,12506.41015625
-2750,-7.72783946990967,12506.41015625
-2500,-6.48441219329834,12506.41015625
-2250,-5.28734683990479,12506.41015625
-2000,-4.13499069213867,12506.41015625
-1750,-3.17481279373169,12506.41015625
-1500,-2.15434408187866,12506.41015625
-1250,-0.378788471221924,12506.41015625
-1000,-0.436102986335754,12506.41015625
-750,0.467559456825256,12506.41015625
-500,1.43438982963562,12506.41015625
-250,2.26553392410278,12506.41015625
0,3.16362762451172,12506.41015625
250,4.22691297531128,12506.41015625
500,5.5555944442749,12506.41015625
750,6.25480127334595,12506.41015625
1000,6.62162590026855,12506.41015625
1250,8.65657615661621,12506.41015625
1500,9.25666236877441,12506.41015625
1750,9.9318208694458,12506.41015625
2000,10.7729711532593,12506.41015625
