year,land_level,melt_bp
-10000,-328.048065185547,10642.01953125
-9750,-318.973999023438,10642.01953125
-9500,-279.985473632812,10642.01953125
-9250,-260.316741943359,10642.01953125
-9000,-238.64680480957,10642.01953125
-8750,-217.726699829102,10642.01953125
-8500,-204.976989746094,10642.01953125
-8250,-203.246215820312,10642.01953125
-8000,-182.188873291016,10642.01953125
-7750,-161.192687988281,10642.01953125
-7500,-144.083221435547,10642.01953125
-7250,-132.781707763672,10642.01953125
-7000,-122.900512695312,10642.01953125
-6750,-112.919326782227,10642.01953125
-6500,-103.471099853516,10642.01953125
-6250,-96.9329071044922,10642.01953125
-6000,-92.3672866821289,10642.01953125
-5750,-86.3562164306641,10642.01953125
-5500,-83.8733139038086,10642.01953125
-5250,-80.343391418457,10642.01953125
-5000,-75.8055877685547,10642.01953125
-4750,-73.2922439575195,10642.01953125
-4500,-68.6750717163086,10642.01953125
-4250,-65.1089630126953,10642.01953125
-4000,-60.5717086791992,10642.01953125
-3750,-56.1393547058105,10642.01953125
-3500,-52.590259552002,10642.01953125
-3250,-49.6080474853516,10642.01953125
-3000,-46.7783584594727,10642.01953125
-2750,-43.3426666259766,10642.01953125
-2500,-40.0396118164062,10642.01953125
-2250,-36.8607940673828,10642.01953125
-2000,-33.799243927002,10642.01953125
-1750,-30.9979019165039,10642.01953125
-1500,-28.2004070281982,10642.01953125
-1250,-24.7085990905762,10642.01953125
-1000,-23.1074962615967,10642.01953125
-750,-20.6007347106934,10642.01953125
-500,-18.0838584899902,10642.01953125
-250,-15.7537965774536,10642.01953125
0,-13.4061660766602,10642.01953125
250,-10.9411964416504,10642.01953125
500,-8.2573413848877,10642.01953125
750,-6.24825811386108,10642.01953125
1000,-4.61580228805542,10642.01953125
1250,-1.3584691286087,10642.01953125
1500,0.421599447727203,10642.01953125
1750,2.23510813713074,10642.01953125
2000,4.17368602752686,10642.01953125
