year,land_level,melt_bp
-10000,-315.489227294922,10728.5966796875
-9750,-305.706420898438,10728.5966796875
-9500,-265.922576904297,10728.5966796875
-9250,-245.486999511719,10728.5966796875
-9000,-223.260147094727,10728.5966796875
-8750,-202.174942016602,10728.5966796875
-8500,-189.717849731445,10728.5966796875
-8250,-188.635162353516,10728.5966796875
-8000,-168.391616821289,10728.5966796875
-7750,-148.214370727539,10728.5966796875
-7500,-131.844512939453,10728.5966796875
-7250,-121.179489135742,10728.5966796875
-7000,-111.838714599609,10728.5966796875
-6750,-102.31916809082,10728.5966796875
-6500,-93.2716064453125,10728.5966796875
-6250,-87.088005065918,10728.5966796875
-6000,-82.8423843383789,10728.5966796875
-5750,-77.1252136230469,10728.5966796875
-5500,-74.9163131713867,10728.5966796875
-5250,-71.6449127197266,10728.5966796875
-5000,-67.3533935546875,10728.5966796875
-4750,-65.0764083862305,10728.5966796875
-4500,-60.6873474121094,10728.5966796875
-4250,-57.3423080444336,10728.5966796875
-4000,-53.0199890136719,10728.5966796875
-3750,-48.7970504760742,10728.5966796875
-3500,-45.4523696899414,10728.5966796875
-3250,-42.6698760986328,10728.5966796875
-3000,-40.0354957580566,10728.5966796875
-2750,-36.7908363342285,10728.5966796875
-2500,-33.6747245788574,10728.5966796875
-2250,-30.6788063049316,10728.5966796875
-2000,-27.7962379455566,10728.5966796875
-1750,-25.1699466705322,10728.5966796875
-1500,-22.5436172485352,10728.5966796875
-1250,-19.2191047668457,10728.5966796875
-1000,-17.7814521789551,10728.5966796875
-750,-15.4342641830444,10728.5966796875
-500,-13.0730991363525,10728.5966796875
-250,-10.8948640823364,10728.5966796875
0,-8.6951961517334,10728.5966796875
250,-6.37428951263428,10728.5966796875
500,-3.83057403564453,10728.5966796875
750,-1.95772171020508,10728.5966796875
1000,-0.457536220550537,10728.5966796875
1250,2.67145776748657,10728.5966796875
1500,4.32715797424316,10728.5966796875
1750,6.02029037475586,10728.5966796875
2000,7.84247779846191,10728.5966796875
