year,land_level,melt_bp
-10000,-230.516326904297,11264.599609375
-9750,-217.890090942383,11264.599609375
-9500,-175.517333984375,11264.599609375
-9250,-153.806915283203,11264.599609375
-9000,-132.658935546875,11264.599609375
-8750,-115.367889404297,11264.599609375
-8500,-108.847015380859,11264.599609375
-8250,-114.749465942383,11264.599609375
-8000,-101.539543151855,11264.599609375
-7750,-87.841926574707,11264.599609375
-7500,-77.1657867431641,11264.599609375
-7250,-71.3992919921875,11264.599609375
-7000,-66.250244140625,11264.599609375
-6750,-60.3302993774414,11264.599609375
-6500,-54.3993377685547,11264.599609375
-6250,-50.9421844482422,11264.599609375
-6000,-49.1079864501953,11264.599609375
-5750,-45.5466384887695,11264.599609375
-5500,-45.2845611572266,11264.599609375
-5250,-43.7875137329102,11264.599609375
-5000,-41.1265640258789,11264.599609375
-4750,-40.3589897155762,11264.599609375
-4500,-37.3762359619141,11264.599609375
-4250,-35.3488273620605,11264.599609375
-4000,-32.2670745849609,11264.599609375
-3750,-29.217113494873,11264.599609375
-3500,-26.9855651855469,11264.599609375
-3250,-25.262767791748,11264.599609375
-3000,-23.6399078369141,11264.599609375
-2750,-21.3630790710449,11264.599609375
-2500,-19.1747894287109,11264.599609375
-2250,-17.0698661804199,11264.599609375
-2000,-15.0440893173218,11264.599609375
-1750,-13.242733001709,11264.599609375
-1500,-11.4114208221436,11264.599609375
-1250,-8.85371971130371,11264.599609375
-1000,-8.1561222076416,11264.599609375
-750,-6.5235390663147,11264.599609375
-500,-4.85263395309448,11264.599609375
-250,-3.34129571914673,11264.599609375
0,-1.78601932525635,11264.599609375
250,-0.0877790451049805,11264.599609375
500,1.85432529449463,11264.599609375
750,3.14601898193359,11264.599609375
1000,4.08494472503662,11264.599609375
1250,6.67214059829712,11264.599609375
1500,7.80502796173096,11264.599609375
1750,8.99395847320557,11264.599609375
2000,10.3302145004272,11264.599609375
