year,land_level,melt_bp
-10000,-316.296569824219,10673.4501953125
-9750,-307.194641113281,10673.4501953125
-9500,-268.140991210938,10673.4501953125
-9250,-248.404815673828,10673.4501953125
-9000,-226.726547241211,10673.4501953125
-8750,-205.927169799805,10673.4501953125
-8500,-193.463516235352,10673.4501953125
-8250,-192.158309936523,10673.4501953125
-8000,-171.598937988281,10673.4501953125
-7750,-151.109115600586,10673.4501953125
-7500,-134.476837158203,10673.4501953125
-7250,-123.609970092773,10673.4501953125
-7000,-114.121047973633,10673.4501953125
-6750,-104.495407104492,10673.4501953125
-6500,-95.3726425170898,10673.4501953125
-6250,-89.1357421875,10673.4501953125
-6000,-84.8520889282227,10673.4501953125
-5750,-79.1073608398438,10673.4501953125
-5500,-76.8780136108398,10673.4501953125
-5250,-73.5909118652344,10673.4501953125
-5000,-69.2868499755859,10673.4501953125
-4750,-66.9993057250977,10673.4501953125
-4500,-62.600944519043,10673.4501953125
-4250,-59.2473068237305,10673.4501953125
-4000,-54.9167404174805,10673.4501953125
-3750,-50.685661315918,10673.4501953125
-3500,-47.3328132629395,10673.4501953125
-3250,-44.5420341491699,10673.4501953125
-3000,-41.8991889953613,10673.4501953125
-2750,-38.6458625793457,10673.4501953125
-2500,-35.5208740234375,10673.4501953125
-2250,-32.5158920288086,10673.4501953125
-2000,-29.624059677124,10673.4501953125
-1750,-26.9883613586426,10673.4501953125
-1500,-24.352502822876,10673.4501953125
-1250,-21.0183811187744,10673.4501953125
-1000,-19.5710430145264,10673.4501953125
-750,-17.2141380310059,10673.4501953125
-500,-14.8432655334473,10673.4501953125
-250,-12.6553621292114,10673.4501953125
0,-10.4460620880127,10673.4501953125
250,-8.11562347412109,10673.4501953125
500,-5.56249570846558,10673.4501953125
750,-3.68035936355591,10673.4501953125
1000,-2.17106771469116,10673.4501953125
1250,0.966856837272644,10673.4501953125
1500,2.63127684593201,10673.4501953125
1750,4.33289051055908,10673.4501953125
2000,6.16333246231079,10673.4501953125
