year,land_level,melt_bp
-10000,-275.310729980469,10964.0859375
-9750,-264.581390380859,10964.0859375
-9500,-223.73551940918,10964.0859375
-9250,-202.473480224609,10964.0859375
-9000,-180.172561645508,10964.0859375
-8750,-160.194274902344,10964.0859375
-8500,-150.052261352539,10964.0859375
-8250,-152.097183227539,10964.0859375
-8000,-135.262649536133,10964.0859375
-7750,-118.374557495117,10964.0859375
-7500,-104.971649169922,10964.0859375
-7250,-96.894775390625,10964.0859375
-7000,-89.7823181152344,10964.0859375
-6750,-82.178840637207,10964.0859375
-6500,-74.7874069213867,10964.0859375
-6250,-70.04736328125,10964.0859375
-6000,-67.0724487304688,10964.0859375
-5750,-62.4851112365723,10964.0859375
-5500,-61.2906379699707,10964.0859375
-5250,-58.9383659362793,10964.0859375
-5000,-55.4865646362305,10964.0859375
-4750,-53.9824867248535,10964.0859375
-4500,-50.3096084594727,10964.0859375
-4250,-47.6320877075195,10964.0859375
-4000,-43.9351501464844,10964.0859375
-3750,-40.3007965087891,10964.0859375
-3500,-37.5122299194336,10964.0859375
-3250,-35.2570114135742,10964.0859375
-3000,-33.1240348815918,10964.0859375
-2750,-30.3574562072754,10964.0859375
-2500,-27.6981563568115,10964.0859375
-2250,-25.1396007537842,10964.0859375
-2000,-22.676441192627,10964.0859375
-1750,-20.4529113769531,10964.0859375
-1500,-18.2138175964355,10964.0859375
-1250,-15.2619915008545,10964.0859375
-1000,-14.1832838058472,10964.0859375
-750,-12.1820516586304,10964.0859375
-500,-10.1544933319092,10964.0859375
-250,-8.29805850982666,10964.0859375
0,-6.40889358520508,10964.0859375
250,-4.38763427734375,10964.0859375
500,-2.13309097290039,10964.0859375
750,-0.539268493652344,10964.0859375
1000,0.691697120666504,10964.0859375
1250,3.56102323532104,10964.0859375
1500,4.96635150909424,10964.0859375
1750,6.41818046569824,10964.0859375
2000,8.00793552398682,10964.0859375
