year,land_level,melt_bp
-10000,-238.499328613281,10623.400390625
-9750,-229.584213256836,10623.400390625
-9500,-190.760391235352,10623.400390625
-9250,-171.277801513672,10623.400390625
-9000,-149.811294555664,10623.400390625
-8750,-129.071273803711,10623.400390625
-8500,-116.41259765625,10623.400390625
-8250,-114.640289306641,10623.400390625
-8000,-93.4222412109375,10623.400390625
-7750,-72.2014465332031,10623.400390625
-7500,-54.862476348877,10623.400390625
-7250,-43.3668556213379,10623.400390625
-7000,-33.3464164733887,10623.400390625
-6750,-23.2856903076172,10623.400390625
-6500,-13.8146286010742,10623.400390625
-6250,-7.30387306213379,10623.400390625
-6000,-2.80865669250488,10623.400390625
-5750,3.09613418579102,10623.400390625
-5500,5.44316577911377,10623.400390625
-5250,8.81306934356689,10623.400390625
-5000,13.1712779998779,10623.400390625
-4750,15.4893360137939,10623.400390625
-4500,19.8986949920654,10623.400390625
-4250,23.2471694946289,10623.400390625
-4000,27.5591907501221,10623.400390625
-3750,31.7606048583984,10623.400390625
-3500,35.0746231079102,10623.400390625
-3250,37.8189697265625,10623.400390625
-3000,40.4091186523438,10623.400390625
-2750,43.6046104431152,10623.400390625
-2500,46.6675834655762,10623.400390625
-2250,49.6071891784668,10623.400390625
-2000,52.4310111999512,10623.400390625
-1750,54.9966316223145,10623.400390625
-1500,57.5608978271484,10623.400390625
-1250,60.8223838806152,10623.400390625
-1000,62.1964225769043,10623.400390625
-750,64.4796829223633,10623.400390625
-500,66.7769317626953,10623.400390625
-250,68.891487121582,10623.400390625
0,71.0279388427734,10623.400390625
250,73.286247253418,10623.400390625
500,75.7681732177734,10623.400390625
750,77.5802001953125,10623.400390625
1000,79.0206069946289,10623.400390625
1250,82.0910491943359,10623.400390625
1500,83.6894760131836,10623.400390625
1750,85.3267288208008,10623.400390625
2000,87.0945205688477,10623.400390625
