year,land_level,melt_bp
-10000,-334.061889648438,10529
-9750,-325.292205810547,10529
-9500,-286.717132568359,10529
-9250,-267.525909423828,10529
-9000,-246.25959777832,10529
-8750,-225.436660766602,10529
-8500,-212.250061035156,10529
-8250,-209.483520507812,10529
-8000,-186.941146850586,10529
-7750,-164.262893676758,10529
-7500,-145.491577148438,10529
-7250,-132.674987792969,10529
-7000,-121.474227905273,10529
-6750,-110.371459960938,10529
-6500,-99.9810638427734,10529
-6250,-92.6547241210938,10529
-6000,-87.4298934936523,10529
-5750,-80.8662261962891,10529
-5500,-77.9185943603516,10529
-5250,-73.996337890625,10529
-5000,-69.1261215209961,10529
-4750,-66.3301086425781,10529
-4500,-61.4718399047852,10529
-4250,-57.6994934082031,10529
-4000,-52.9854431152344,10529
-3750,-48.401237487793,10529
-3500,-44.7215957641602,10529
-3250,-41.6270141601562,10529
-3000,-38.7006149291992,10529
-2750,-35.1816864013672,10529
-2500,-31.8070755004883,10529
-2250,-28.5668258666992,10529
-2000,-25.4526615142822,10529
-1750,-22.6063613891602,10529
-1500,-19.7706203460693,10529
-1250,-16.2463932037354,10529
-1000,-14.6180038452148,10529
-750,-12.0884075164795,10529
-500,-9.55259990692139,10529
-250,-7.20699548721313,10529
0,-4.84681606292725,10529
250,-2.37184047698975,10529
500,0.319786012172699,10529
750,2.33472156524658,10529
1000,3.97139739990234,10529
1250,7.23157024383545,10529
1500,9.01328754425049,10529
1750,10.8274927139282,10529
2000,12.7659912109375,10529
