year,land_level,melt_bp
-10000,-201.002502441406,11399.4052734375
-9750,-188.083251953125,11399.4052734375
-9500,-145.815551757812,11399.4052734375
-9250,-124.928169250488,11399.4052734375
-9000,-105.378768920898,11399.4052734375
-8750,-90.2016296386719,11399.4052734375
-8500,-85.9453125,11399.4052734375
-8250,-93.9980773925781,11399.4052734375
-8000,-82.7026748657227,11399.4052734375
-7750,-70.6595916748047,11399.4052734375
-7500,-61.399471282959,11399.4052734375
-7250,-56.8465766906738,11399.4052734375
-7000,-52.745059967041,11399.4052734375
-6750,-47.7381439208984,11399.4052734375
-6500,-42.611457824707,11399.4052734375
-6250,-39.8702774047852,11399.4052734375
-6000,-38.6798553466797,11399.4052734375
-5750,-35.7026748657227,11399.4052734375
-5500,-35.9750862121582,11399.4052734375
-5250,-34.970703125,11399.4052734375
-5000,-32.766845703125,11399.4052734375
-4750,-32.4258193969727,11399.4052734375
-4500,-29.8431262969971,11399.4052734375
-4250,-28.1926002502441,11399.4052734375
-4000,-25.4672718048096,11399.4052734375
-3750,-22.755542755127,11399.4052734375
-3500,-20.845890045166,11399.4052734375
-3250,-19.4302177429199,11399.4052734375
-3000,-18.1010589599609,11399.4052734375
-2750,-16.1056060791016,11399.4052734375
-2500,-14.1873435974121,11399.4052734375
-2250,-12.3419065475464,11399.4052734375
-2000,-10.5658206939697,11399.4052734375
-1750,-9.00493240356445,11399.4052734375
-1500,-7.40543127059937,11399.4052734375
-1250,-5.07132768630981,11399.4052734375
-1000,-4.58954238891602,11399.4052734375
-750,-3.16532468795776,11399.4052734375
-500,-1.69568371772766,11399.4052734375
-250,-0.378782629966736,11399.4052734375
0,0.988638877868652,11399.4052734375
250,2.5053825378418,11399.4052734375
500,4.27212619781494,11399.4052734375
750,5.39444923400879,11399.4052734375
1000,6.16981172561646,11399.4052734375
1250,8.5991096496582,11399.4052734375
1500,9.57962799072266,11399.4052734375
1750,10.6215991973877,11399.4052734375
2000,11.8161973953247,11399.4052734375
