year,land_level,melt_bp
-10000,-325.738494873047,10635.474609375
-9750,-316.285766601562,10635.474609375
-9500,-276.919036865234,10635.474609375
-9250,-256.896575927734,10635.474609375
-9000,-234.911361694336,10635.474609375
-8750,-213.699417114258,10635.474609375
-8500,-200.635391235352,10635.474609375
-8250,-198.524154663086,10635.474609375
-8000,-177.013473510742,10635.474609375
-7750,-155.520294189453,10635.474609375
-7500,-137.909591674805,10635.474609375
-7250,-126.132736206055,10635.474609375
-7000,-115.818374633789,10635.474609375
-6750,-105.451705932617,10635.474609375
-6500,-95.6649475097656,10635.474609375
-6250,-88.8312149047852,10635.474609375
-6000,-84.008171081543,10635.474609375
-5750,-77.7727355957031,10635.474609375
-5500,-75.0939102172852,10635.474609375
-5250,-71.3924179077148,10635.474609375
-5000,-66.7039031982422,10635.474609375
-4750,-64.0577239990234,10635.474609375
-4500,-59.3230972290039,10635.474609375
-4250,-55.6527671813965,10635.474609375
-4000,-51.0227699279785,10635.474609375
-3750,-46.5076103210449,10635.474609375
-3500,-42.8844108581543,10635.474609375
-3250,-39.835693359375,10635.474609375
-3000,-36.9461517333984,10635.474609375
-2750,-33.4564628601074,10635.474609375
-2500,-30.1046142578125,10635.474609375
-2250,-26.8815879821777,10635.474609375
-2000,-23.7799167633057,10635.474609375
-1750,-20.9420700073242,10635.474609375
-1500,-18.111307144165,10635.474609375
-1250,-14.5891284942627,10635.474609375
-1000,-12.9602470397949,10635.474609375
-750,-10.4280242919922,10635.474609375
-500,-7.88777112960815,10635.474609375
-250,-5.53619813919067,10635.474609375
0,-3.16874599456787,10635.474609375
250,-0.68546199798584,10635.474609375
500,2.01535701751709,10635.474609375
750,4.0401725769043,10635.474609375
1000,5.6872615814209,10635.474609375
1250,8.95824337005615,10635.474609375
1500,10.7510623931885,10635.474609375
1750,12.5765333175659,10635.474609375
2000,14.5263481140137,10635.474609375
